,Duration
2024-04-30 05:00:00,158.0
2024-04-30 06:00:00,158.0
2024-04-30 07:00:00,159.66666666666666
2024-04-30 08:00:00,158.0
2024-04-30 09:00:00,158.0
2024-04-30 10:00:00,158.0
2024-04-30 11:00:00,158.0
2024-04-30 12:00:00,158.0
2024-04-30 13:00:00,168.0
2024-04-30 14:00:00,160.0
2024-04-30 15:00:00,158.0
2024-04-30 16:00:00,155.14285714285714
2024-04-30 17:00:00,158.0
2024-04-30 18:00:00,158.0
2024-04-30 19:00:00,158.0
2024-04-30 20:00:00,161.33333333333334
2024-04-30 21:00:00,159.42857142857142
2024-04-30 22:00:00,159.42857142857142
2024-04-30 23:00:00,159.66666666666666
2024-05-01 05:00:00,163.0
2024-05-01 06:00:00,159.11111111111111
2024-05-01 07:00:00,161.33333333333334
2024-05-01 08:00:00,161.75
2024-05-01 09:00:00,159.66666666666666
2024-05-01 10:00:00,160.0
2024-05-01 11:00:00,156.0
2024-05-01 12:00:00,158.0
2024-05-01 13:00:00,160.5
2024-05-01 14:00:00,158.0
2024-05-01 15:00:00,158.0
2024-05-01 16:00:00,163.0
2024-05-01 17:00:00,161.33333333333334
2024-05-01 18:00:00,158.0
2024-05-01 19:00:00,159.25
2024-05-01 20:00:00,158.0
2024-05-01 21:00:00,158.0
2024-05-01 22:00:00,158.0
2024-05-01 23:00:00,158.0
2024-05-02 05:00:00,158.0
2024-05-02 06:00:00,158.0
2024-05-02 07:00:00,159.25
2024-05-02 08:00:00,159.66666666666666
2024-05-02 09:00:00,158.0
2024-05-02 10:00:00,158.0
2024-05-02 11:00:00,158.0
2024-05-02 12:00:00,158.0
2024-05-02 13:00:00,160.85714285714286
2024-05-02 14:00:00,158.0
2024-05-02 15:00:00,158.0
2024-05-02 16:00:00,158.0
2024-05-02 17:00:00,159.66666666666666
2024-05-02 18:00:00,160.0
2024-05-02 19:00:00,159.25
2024-05-02 20:00:00,163.0
2024-05-02 21:00:00,158.0
2024-05-02 22:00:00,161.33333333333334
2024-05-02 23:00:00,160.0
2024-05-03 05:00:00,158.0
2024-05-03 06:00:00,161.0
2024-05-03 07:00:00,158.0
2024-05-03 08:00:00,159.66666666666666
2024-05-03 09:00:00,158.0
2024-05-03 10:00:00,148.0
2024-05-03 11:00:00,154.25
